,ID,BB,LS,DS,WH,FB,KB,VM
688,1062.0,0.33637591912011,0.36542876311917,1.0397822700881587,98.25753492246285,1.8758125835727975e-06,0.0006658941389410278,0.00021035525821489417
689,1068.0,0.02563900612936075,99.97432336926677,1.849555078829534e-07,8.338423734889388e-11,9.437956146385213e-19,3.74344067780974e-05,5.158142836486219e-09
690,1069.0,14.103920652051436,63.24605021285551,9.72938851338288e-06,0.004223208016449225,1.1176037381616802e-18,22.64579619768177,6.358049875797583e-12
691,1070.0,45.45486723884315,46.19977949325371,0.16122390801081393,6.019495752278322,3.06586521783152e-10,2.1646336073065484,8.403746927870345e-13
692,1071.0,16.908363503297277,78.44002242539865,0.15389167282045005,0.04339339483054712,2.678075929099809e-07,4.4543287358453405,4.9693779663521594e-14
693,1072.0,55.06792241113496,0.00805192996619871,44.63405710296267,0.22124405298957886,0.06852788772783355,0.00019661521871481438,7.220772426598203e-20
694,1074.0,7.528887070934151,91.38007928932191,0.03174671236957786,0.008492527692569118,3.6247740778602447e-09,1.0507943960570172,1.827523383850497e-14
695,1075.0,93.49948239858537,2.37084896465302,2.706106628349174,0.12229394388585868,0.0002294025811991432,1.3010386619454144,8.014205026959506e-18
696,1076.0,33.1128179214778,0.3138204031562264,65.37579683163763,1.0116149519401354,0.1530798422685784,0.03287004951962946,5.682154059387215e-19
697,1077.0,43.24360572872513,44.61971644713833,11.05637951884949,0.20675150514588742,0.0015501032792728223,0.8719966968618056,5.3999818406469754e-17
698,1078.0,29.543230101877207,0.4937979332961584,68.92897265229524,0.43216833264146104,0.5699523086610251,0.031878671228928415,4.08913752192848e-19
699,1079.0,57.25331814892819,2.655270269449443,39.258750809571964,0.047649249342812415,0.5837215721444504,0.20128995056315938,1.2576912386724924e-20
700,1080.0,99.79395209686618,0.001047923590600376,0.20497932662448967,2.059274043600998e-05,4.721879915355208e-10,5.970614181608052e-08,6.590456095989577e-28
701,1081.0,54.92684074945119,0.031965082390315015,44.50202961462943,0.016280754620340458,0.5220279072240718,0.0008558916847137252,1.1192853396347746e-23
702,1083.0,24.460235898707666,0.02695857976515552,74.90272386825502,0.03401527702926448,0.5757091501864332,0.00035722605644111273,1.3360944745601566e-23
703,1084.0,39.45516570210936,0.3879652133155378,59.456358934700205,0.3559539811529943,0.2741424413073769,0.07041372741451682,4.701682759358434e-21
704,1086.0,53.54072524210493,0.16436485462616776,45.02011720790813,0.010848204737839586,1.2526079605988827,0.01133653002410043,9.799706740352707e-25
705,1087.0,57.55327718582824,28.031188512096954,13.372002308861925,0.003938358878144852,0.0791080038232805,0.960485630511462,1.0592950870112125e-21
706,1088.0,60.345754894534934,31.24996112380299,1.9893426803362837,0.006353889116146418,0.0005308890775505994,6.408056523132095,2.962598658563144e-21
707,1089.0,46.96442789816756,0.17120452240149833,52.49020473047381,0.1650273035097974,0.15537815781906808,0.05375738762826301,1.6009162395580242e-23
708,1090.0,24.41093810530971,0.1552135890961546,74.74372918667743,0.08906269509346405,0.588924269152105,0.012132154671124067,3.2625330765430736e-24
709,1093.0,13.043872297168058,65.22402334309815,3.5767120435687447e-06,4.644948285811092e-06,2.2328117924927174e-18,21.732096138073427,3.3531784482017782e-21
710,1094.0,74.07566436694275,3.1741221946114564,21.380887214987286,0.6146252999718307,0.0008729564514099839,0.7538279670352709,2.1354466901012267e-23
711,1095.0,73.13590401429664,5.484352623184475,0.11337684289010762,0.024665135174104652,2.6729575210020915e-08,21.241701357725102,4.724681656837544e-23
712,1096.0,30.77990775019299,0.01814145065921067,66.76641006524122,0.006240859096496348,2.4281517428521795,0.001148131957898747,2.535015918877238e-28
713,1097.0,25.67003730145411,0.04277246142057997,70.12268527996088,0.005086421575669867,4.15741212014802,0.002006415440731431,6.005389373100392e-28
714,1098.0,33.30483000455633,0.0014293466326683558,66.66758739392404,0.007891690839130466,0.018244950574137508,1.6613473681401084e-05,3.83986161492045e-29
715,1099.0,28.636394384077015,1.051593870745629,69.24754781912159,0.016424862095285767,1.0061901776100666,0.04184888635034645,4.066645920723631e-26
716,1100.0,34.84892162519992,0.00788781529620912,64.24497823698722,0.011672248730650016,0.8856875346731827,0.0008525391128366268,2.4286911643357085e-28
717,1101.0,22.979921576071227,0.009500131861224092,75.23444435731484,0.006646724309033141,1.7691000099621195,0.00038720048156026864,1.2016976498307084e-28
718,1102.0,20.01260757759472,0.011242244206728084,79.33052922757642,0.01420803167443694,0.6309158538002925,0.0004970651474390718,3.6693647633889696e-28
719,1104.0,21.505639117669283,0.050338986942905506,77.80418932641385,0.03255353859616968,0.6030774088147957,0.004201621562970716,3.7376165805650706e-27
720,1106.0,20.68173819437086,77.99352222136226,0.33049472634909804,2.6474901654078942e-05,6.701802391115626e-05,0.9941513649922662,2.4260081659792887e-23
721,1107.0,89.65956505491543,0.6605063228582284,9.66045682759934,0.013479739523315524,2.414528452214207e-05,0.0059679098191129055,1.0813025176159613e-27
722,1108.0,77.2000505775648,4.849055099102834,13.037946126444435,0.06816907096467852,0.0030592221469931216,4.841719903776323,1.4182474911804732e-26
723,1109.0,32.08868649953177,0.15458644147577694,65.88482112233677,0.011758650164500584,1.819766634783666,0.04038065170747642,4.786260471744885e-29
724,1110.0,46.93837886434614,0.08420254109929926,52.80865388815684,0.03396739433071523,0.09764958469858312,0.0371477273684525,1.285538890762132e-28
725,1111.0,20.125293619632195,0.03611877755894099,76.56175649102566,0.006127647638568708,3.266562978547434,0.004140485597216605,4.526583433725828e-30
726,1112.0,21.52840146547567,0.07762285210724802,74.55389691123273,0.006566667747211875,3.823485568932354,0.010026534504762534,1.1209155849064538e-29
727,1113.0,23.23108001141944,0.016703062517259497,76.47595363087353,0.004864076093135869,0.2709769265246897,0.00042229257197013516,7.214698511950239e-31
728,1114.0,24.669531857294643,0.02300758315514875,75.12180076527633,0.022559653431173936,0.16027348650491144,0.0028266543377814695,1.3818391083538558e-29
729,1115.0,51.070782775363135,1.3627236845571453,46.61811005052732,0.028498268315432226,0.3139337182918935,0.6059515029450488,9.36134779172954e-28
730,1118.0,33.56508416956452,0.003934274581479772,65.06990893457724,0.0013373420399093196,1.3592887824856552,0.00044649675121164926,3.607758686172205e-34
731,1119.0,85.11473237804115,0.36467689189155006,14.132667035891433,0.0025222721921675244,0.036032575016754075,0.3493688469669462,4.106239036841086e-31
