ID,YEAR,d15N,d13C,d2H,d18O,ZONE,Sex,Latitude,Longitude,Delete2
108,2005,18.3,-17.4,-59.7,8.3,WH,0,58.5,-93.1,0
109,2006,18.5,-17.4,-59.4,7.2,WH,0,58.3,-93.4,0
110,2005,19.5,-17.4,-56.8,8.1,WH,0,57.6,-92.8,0
111,2007,19.8,-17.4,-63,7.7,WH,1,58.7,-93.2,0
112,2007,19.9,-17.4,-63.2,7.2,WH,1,58.5,-93.1,0
113,2005,19.9,-17.4,-61.5,9.1,WH,1,58.1,-92.8,0
114,2007,20,-17.4,-49.3,8,WH,0,58.4,-93.1,0
115,2007,20.3,-17.4,-56.1,6.8,WH,0,57.7,-93.4,0
116,2007,20.4,-17.4,-63.6,5.8,WH,1,58.6,-93.1,0
117,2015,20.6,-17.4,-54.5,8.801,WH,1,57.95,-93.381,0
118,2015,20.6,-17.4,-52.1,9.039,WH,1,58.73,-93.169,0
119,2015,21.9,-17.4,-45.5,10.322,WH,1,59.78,-94.758,0
120,2005,19,-17.3,-53.5,8.8,WH,0,57.8,-93.3,0
121,2005,19.3,-17.3,-64,8.5,WH,0,58,-93.2,0
122,2005,19.5,-17.3,-55.4,8.8,WH,0,58.2,-93.7,0
123,2005,19.6,-17.3,-67.9,8.5,WH,0,58.4,-93.4,0
124,2007,20,-17.3,-54.8,6.4,WH,0,58.3,-92.9,0
125,2005,20,-17.3,NA,7.8,WH,1,56.8,-89,0
126,2007,20.3,-17.3,-77.2,6.7,WH,0,57.6,-93.5,0
127,2007,20.8,-17.3,-62.1,6.1,WH,1,57.6,-93.5,0
128,2007,20.9,-17.3,-69.3,7.3,WH,1,58.7,-93.1,0
129,2007,21.2,-17.3,-56.6,7.2,WH,1,57.6,-92.6,0
130,2007,21.3,-17.3,-62.6,6.8,WH,0,58.6,-93.1,0
131,2016,18.69,-17.22,NA,NA,DS,1,65.66,-65.5,0
132,2008,19.7,-17.2,-68.2,NA,FB,1,65.94,-84.7386,0
133,2006,18.1,-17.2,-61.4,7.4,WH,1,58.5,-93.1,0
134,2005,18.5,-17.2,-6.5,8.5,WH,0,57.5,-93.2,1
135,2006,18.8,-17.2,-65.3,8.3,WH,0,57.7,-93.6,0
136,2006,18.9,-17.2,-64.4,7.5,WH,0,57.7,-93.1,0
137,2006,18.9,-17.2,-64.2,8.3,WH,0,58,-94,0
138,2006,19,-17.2,NA,8,WH,0,57.5,-93.6,0
139,2006,19,-17.2,NA,8.3,WH,0,57.4,-93,0
140,2005,19,-17.2,-55.2,9.2,WH,1,58.1,-92.8,0
141,2005,19.1,-17.2,-6.4,8.6,WH,0,57.9,-93.3,1
142,2005,19.2,-17.2,-63.5,9.4,WH,0,58.3,-93.3,0
143,2005,19.4,-17.2,-6.6,8.9,WH,0,57.6,-93.7,1
144,2005,19.5,-17.2,-57.7,9.3,WH,0,58.4,-93.4,0
145,2005,20.2,-17.2,-58.9,8.9,WH,0,57.8,-92.7,0
146,2005,20.2,-17.2,-61,9.1,WH,1,58.5,-93.1,0
147,2007,20.3,-17.2,-64.3,6.4,WH,1,58.7,-93.1,0
148,2015,20.5,-17.2,-53.62,8.586,WH,1,59.74,-94.822,0
149,2006,20.6,-17.2,NA,6.7,WH,0,57.4,-93.1,0
150,2005,20.7,-17.2,NA,9,WH,1,56.8,-89.1,0
151,2007,20.8,-17.2,-66.9,6.3,WH,1,58.5,-93.1,0
