ID,YEAR,d15N,d13C,d2H,d18O,ZONE,Sex,Latitude,Longitude,Delete2
383,2005,18.8,-15.8,-68.9799779,8.581923329,DS,0,62.87,-65.733,0
384,2005,18.8,-15.8,-57.84,8.963,DS,0,61.61,-64.753,0
385,2005,18.9,-15.8,-67.8392,9.156,DS,0,65.06,-63.8308,0
386,2006,19,-15.8,-50.090908,9.87541,DS,1,65.48,-63.467,0
387,2005,19.1,-15.8,-50.362262,7.30193,DS,1,66.13,-62.8952,0
388,2005,19.1,-15.8,-66.25,9.02,DS,0,63.51,-64.9733,0
389,2005,19.1,-15.8,-50.994118,9.12466,DS,1,66.02,-62.325,0
390,2005,19.2,-15.8,-61.7053,7.4267,DS,1,64.93,-63.644,0
391,2005,19.3,-15.8,-69.5493,9.0334,DS,1,65.17,-64.1228,0
392,1991,19.5,-15.8,-88.63,6.28,LS,0,73.2,-90.033,0
393,1992,20.2,-15.8,-71.31,6.95,LS,0,75.68,-85.6,0
394,1997,20.3,-15.8,NA,NA,LS,1,74.1,-93.837,0
395,1992,20.6,-15.8,-81.18,7.09,LS,1,74.72,-79.867,0
396,2016,19.9,-15.77,NA,NA,FB,1,64.28,-76.58,0
397,1997,20.61,-15.76,-77.52,5.14,BB,0,70.557,-70.065,0
398,1997,18.89,-15.75,-55.6,5.43,BB,0,68.294,-66.911,0
399,1995,19.92,-15.73,-75.38,11.73,BB,1,70.007,-68.042,0
400,1997,19.3,-15.72,-61.19,5.34,BB,0,66.999,-62.049,0
401,1992,17.2,-15.7,-60.77,5.16,BB,0,66.47,-62.1,0
402,2005,17.4,-15.7,-39.076438,8.13822,BB,0,66.54,-61.6928,0
403,2005,17.6,-15.7,-54.656224,8.1273,BB,1,66.33,-61.7583,0
404,1997,18.1,-15.7,-78.09,7.62,BB,1,66.73,-61.455,0
405,2005,18.1,-15.7,-45.230778,9.25115,BB,1,66.43,-61.872,0
406,1991,18.4,-15.7,-68.86,6.37,BB,0,69.47,-67.567,0
407,1991,18.4,-15.7,-71.34,7.51,BB,1,73.72,-80.75,0
408,2005,18.6,-15.7,-47.324192,9.38401,BB,1,66.41,-61.6257,0
409,1997,18.9,-15.7,-80.66,5.95,BB,1,69.61,-67.886,0
410,2005,18.9,-15.7,-53.459764,7.53398,BB,1,66.27,-62.2895,0
411,1992,19,-15.7,-58.47,3.53,BB,0,71.62,-73.05,0
412,2005,19.1,-15.7,-59.575004,6.77413,BB,1,66.41,-61.9748,0
413,2005,19.3,-15.7,-54.338732,10.12202,BB,1,66.54,-61.6928,0
414,2005,20,-15.7,-61.905364,7.34743,BB,1,66.41,-62.7043,0
415,1992,20.3,-15.7,-68.17,6.7,BB,1,71.37,-69.417,0
416,1992,17.6,-15.7,-53.56,12.38,DS,0,65.32,-63.75,0
417,2005,17.9,-15.7,-51.955978,7.31376,DS,0,65.86,-62.1585,0
418,2005,17.9,-15.7,-68.7995249,7.867879994,DS,0,63.31,-65.046,0
419,2005,18.1,-15.7,-55.6331,8.9069,DS,0,65.8,-62.3545,0
420,2005,18.1,-15.7,-54.7903,9.7243,DS,1,62.95,-64.7028,0
421,2005,18.2,-15.7,-64.9168,9.2573,DS,0,62.95,-64.7028,0
422,2005,18.4,-15.7,-57.4866,8.5722,DS,1,65.08,-63.436,0
423,2005,18.4,-15.7,-64.4,8.803,DS,0,63.01,-65.0158,0
424,2005,18.5,-15.7,-61.400192,7.12539,DS,1,65.73,-62.9067,0
425,2005,18.5,-15.7,-53.52858,10.74992,DS,0,62.44,-64.4632,0
426,2005,18.6,-15.7,-66.347942,9.600514413,DS,1,62.9,-66.6295,0
427,2005,18.6,-15.7,-60.09,10.42,DS,0,62.88,-64.7672,0
428,2005,18.6,-15.7,NA,NA,DS,0,62.42,-64.6133,0
429,2005,18.7,-15.7,-71.0804,9.1896,DS,1,65.19,-63.8203,0
430,2005,18.8,-15.7,-53.9425,7.6253,DS,1,65.63,-62.4718,0
431,2005,18.8,-15.7,-66.6753353,7.634473877,DS,1,62.69,-64.9385,0
432,2005,18.8,-15.7,-61.6549,7.755,DS,1,65.81,-62.5308,0
433,2005,18.8,-15.7,-51.81,8.923,DS,0,62.5,-64.6497,0
434,2008,20.5,-15.7,-15.5,NA,FB,1,69.25,-77.3616,1
435,2008,20.7,-15.7,-7.4,NA,FB,0,65.65,-83.6773,1
436,2008,20.9,-15.7,-67.1,NA,FB,0,69.63,-78.3796,0
437,1992,19.8,-15.7,-69.3,3.89,KB,0,77.93,-77.25,0
438,1992,19.8,-15.7,-66.41,4.7,KB,0,77.38,-81.267,0
439,1997,18.7,-15.7,-96.35,7.82,LS,0,72.25,-92.493,0
440,1997,20.6,-15.7,NA,NA,LS,1,72.7,-92.22,0
441,1992,20.8,-15.7,-80.7,4.26,LS,0,75.73,-86.367,0
442,1997,21.5,-15.7,NA,NA,LS,0,75.51,-94.072,0
443,1997,19.97,-15.67,-62.09,10.56,BB,0,68.53,-68.028,0
444,1997,19.81,-15.64,-54.43,8.41,BB,0,70.85,-69.889,0
445,1997,20.51,-15.62,-65.87,8.06,BB,1,66.91,-61.945,0
446,1997,17.5,-15.6,-61.28,9.27,BB,0,67.02,-62.208,0
447,2005,17.9,-15.6,-56.188162,7.21639,BB,0,66.29,-61.8483,0
448,1997,18.1,-15.6,-58.5,6.06,BB,1,66.54,-61.605,0
449,1997,18.2,-15.6,-63.28,5.2,BB,0,69.78,-68.077,0
450,1997,18.5,-15.6,-65.88,8.16,BB,1,66.54,-61.605,0
451,2005,18.9,-15.6,-26.485456,9.31849,BB,1,66.37,-61.9175,1
452,1992,19.3,-15.6,-78.85,6.33,BB,1,68.05,-66.233,0
453,2005,19.3,-15.6,-60.748786,9.12011,BB,1,66.61,-62.028,0
454,1992,19.7,-15.6,-77.9,4.68,BB,0,71.97,-72.517,0
455,1992,20.1,-15.6,-59.92,7.17,BB,1,71.13,-68.833,0
456,1992,20.2,-15.6,-90.14,4.89,BB,0,71.67,-73.583,0
457,1992,20.3,-15.6,-81.96,8.78,BB,0,71.7,-72.217,0
458,2005,16.7,-15.6,NA,NA,DS,0,60,-65.098,0
459,2005,17.6,-15.6,-66.53,8.481,DS,0,61.35,-64.7488,0
460,2005,17.7,-15.6,-60.8763,8.1269,DS,1,62.95,-64.7028,0
461,2005,17.8,-15.6,-75.4298837,8.075732439,DS,1,60.29,-64.3855,0
462,2005,17.9,-15.6,-62.476224,7.3811,DS,1,65.73,-62.9067,0
463,2005,17.9,-15.6,-42.62,9.816,DS,0,60.59,-64.7405,0
464,2005,18,-15.6,-53.02,9.269,DS,0,61.68,-65.068,0
465,2005,18,-15.6,-64.6346,9.9171,DS,1,65.11,-63.4197,0
466,2005,18,-15.6,-67.3610567,10.00597661,DS,0,59.92,-65.212,0
467,2005,18,-15.6,-61.8743,10.2195,DS,1,65.19,-63.3422,0
468,2005,18.2,-15.6,-50.41,9.554,DS,0,61.35,-64.7488,0
469,2005,18.4,-15.6,-57.4589,7.502,DS,1,65.66,-62.401,0
470,2005,18.4,-15.6,-64.61,8.375,DS,0,61.71,-65.0598,0
471,2005,18.4,-15.6,-62.8531,8.7539,DS,1,62.92,-63.7027,0
472,2005,18.4,-15.6,NA,NA,DS,0,61.82,-64.9038,0
473,2005,18.5,-15.6,-57.26,8.87,DS,1,62.9,-64.7093,0
474,2005,18.6,-15.6,-74.8375,7.6348,DS,1,62.93,-63.781,0
475,2005,18.6,-15.6,-58.64,8.555,DS,0,62.53,-64.8132,0
476,2005,18.8,-15.6,-68.1098,8.257,DS,1,62.91,-64.7265,0
477,2005,18.8,-15.6,-54.39,9.028,DS,0,62.54,-65.1475,0
478,2005,18.8,-15.6,NA,NA,DS,1,60.45,-67.8442,0
479,2005,19,-15.6,-64.8536,10.857,DS,0,65.03,-63.8087,0
480,2017,19.23,-15.6,NA,NA,DS,1,56.85,-61.21,0
481,2005,19.3,-15.6,-71.1486,6.2122,DS,0,65.81,-62.5308,0
482,2005,19.4,-15.6,-68.13,9.13,DS,1,63.16,-64.8823,0
483,2005,19.4,-15.6,NA,NA,DS,1,61.82,-64.9323,0
484,2005,19.5,-15.6,-58.911,10.424,DS,1,62.53,-64.159,0
485,2005,19.6,-15.6,-69.3148,7.1065,DS,1,65.66,-62.401,0
486,2005,19.9,-15.6,-58.7079057,7.628821819,DS,1,62.64,-64.8968,0
487,2005,18.1,-15.6,-62.8101,9.7222,FB,0,62.13,-67.3318,0
488,2005,18.4,-15.6,-61.2636,8.4661,FB,0,62.13,-67.3318,0
489,2008,20,-15.6,-7.4,NA,FB,0,68.08,-74.7155,1
490,2008,20.2,-15.6,-95.1,NA,FB,0,69.69,-83.3035,0
491,2008,20.8,-15.6,-69.5,NA,FB,1,69.38,-80.0757,0
492,1992,18.6,-15.6,-64.4,7.36,LS,1,75.8,-81.5,0
493,1997,18.7,-15.6,NA,NA,LS,0,74.77,-92.698,0
494,2005,18.8,-15.6,-86.57,8.4,LS,1,73.03,-90.25,0
495,1997,18.9,-15.6,-99.21,6.02,LS,0,71.97,-90.303,0
496,1997,19.3,-15.6,-86.22,9.13,LS,0,72.69,-92.219,0
497,1997,19.8,-15.6,NA,NA,LS,0,73.05,-91.069,0
498,1997,19.9,-15.6,-90.68,6.61,LS,0,72.34,-90.496,0
499,1997,20,-15.6,NA,NA,LS,0,72.22,-90.434,0
500,1997,20.1,-15.6,-87.73,4.98,LS,0,74.59,-92.21,0
501,1997,20.4,-15.6,-86.97,6.01,LS,0,74.79,-92.324,0
502,1997,20.5,-15.6,NA,NA,LS,0,74.82,-92.076,0
503,1997,18.98,-15.58,NA,NA,BB,0,66.65,-61.708,0
504,1992,21.33,-15.51,-86,2.89,BB,0,73.28,-80.9,0
505,1997,16.9,-15.5,-64.45,9.53,BB,1,66.92,-61.834,0
506,1997,17.3,-15.5,-49.53,8.85,BB,0,67.06,-62.034,0
507,1997,17.3,-15.5,-61.71,8.95,BB,1,66.8,-61.897,0
508,1997,17.6,-15.5,-58.1,7.62,BB,1,66.93,-61.845,0
509,1997,17.9,-15.5,-54.54,7.42,BB,0,67.11,-62.643,0
510,1997,17.9,-15.5,-64.97,10.05,BB,1,67.06,-62.034,0
511,1997,18,-15.5,-61.01,12.16,BB,1,72.54,-75.517,0
512,2005,18.2,-15.5,-51.846498,8.0454,BB,1,66.34,-61.5997,0
513,1997,18.3,-15.5,-61.59,11.38,BB,1,69.47,-67.327,0
514,2005,18.8,-15.5,-45.668698,8.44671,BB,1,66.64,-61.9762,0
515,2005,17.3,-15.5,-57.45,8.881,DS,0,61.32,-64.8862,0
516,2005,17.5,-15.5,-52.89,10.158,DS,0,61.65,-64.6965,0
517,2005,17.7,-15.5,-49.66,10.201,DS,0,62.5,-64.6497,0
518,2005,17.8,-15.5,NA,NA,DS,0,62.34,-64.6482,0
519,2005,18,-15.5,-82.841,6.7519,DS,1,60.18,-69.4077,0
520,2005,18,-15.5,-54.9849,8.8443,DS,0,65.89,-62.1612,0
521,2005,18.2,-15.5,-64.0690784,8.548913187,DS,1,62.77,-65.4737,0
522,2005,18.3,-15.5,-68.0259,7.7084,DS,1,60.28,-64.5333,0
523,2005,18.4,-15.5,-59.8521,9.3979,DS,1,62.76,-63.8645,0
524,2005,18.6,-15.5,-55.8428,9.4097,DS,1,65.64,-63.2125,0
525,2005,18.6,-15.5,NA,NA,DS,0,62.42,-64.5733,0
526,2005,18.8,-15.5,-74.6767,8.2413,DS,1,65.19,-63.8203,0
527,2005,19.1,-15.5,-50,9.124,DS,0,62.94,-65.1187,0
528,2006,19.1,-15.5,NA,NA,DS,1,62.87,-64.8623,0
529,2005,19.2,-15.5,-59.3834,9.2153,DS,1,60.4,-64.5143,0
530,2005,19.3,-15.5,-77.9342,8.5067,DS,1,60.69,-64.6378,0
531,2005,19.5,-15.5,-66.0669509,8.360935819,DS,1,61.84,-65.7817,0
532,1992,20.8,-15.5,-73.45,4.94,KB,0,77.03,-78.917,0
533,1997,19.7,-15.5,NA,NA,LS,0,72.41,-92.42,0
534,1992,19.8,-15.5,-86.24,5.28,LS,0,74.72,-79.867,0
535,1992,19.9,-15.5,-69.84,7.79,LS,0,76.02,-78.05,0
536,1997,19.9,-15.5,NA,NA,LS,0,75.95,-94.219,0
537,1991,20,-15.5,-88.14,4.58,LS,0,74.93,-99.517,0
538,1992,20.5,-15.5,-81.61,5.95,LS,0,75.45,-86.483,0
539,1997,20.7,-15.5,-84.75,7.62,LS,1,72.63,-92.214,0
540,2017,20.32,-15.49,NA,NA,DS,1,56.5,-62,0
541,1997,20.62,-15.48,-77.5,5.34,BB,1,70.967,-70.595,0
542,1997,20.28,-15.46,-70.06,6.51,BB,1,71.65,-72.586,0
543,2006,19.43,-15.46,-77.86,9.47,DS,1,60.16233333,-64.269,0
544,2017,19.81,-15.44,NA,NA,FB,1,64.25,-77.23,0
545,1997,20.04,-15.42,-64.51,6.67,BB,1,67.714,-65.031,0
546,1997,17.3,-15.4,-48.15,9.3,BB,1,66.64,-61.993,0
547,1992,17.6,-15.4,-76.58,7.79,BB,1,67.1,-62.617,0
548,1997,18.1,-15.4,-54.86,6.7,BB,1,66.87,-62.011,0
549,1997,18.1,-15.4,-72.36,7.43,BB,1,73.54,-80.831,0
550,1997,18.6,-15.4,-62.14,10.4,BB,1,69.4,-67.056,0
551,1992,19,-15.4,-71.18,7.22,BB,1,71.42,-69.65,0
552,1997,19.1,-15.4,-64.37,10.29,BB,1,66.73,-61.455,0
553,1992,19.7,-15.4,-50.6169,9.2896,BB,1,72.48,-72.2,0
554,1992,20.09,-15.4,-64.74,6.97,BB,1,66.43,-61.883,0
555,1997,20.2,-15.4,-78.08,3.36,BB,1,69.76,-68.359,0
556,1992,20.5,-15.4,-79.1,6.84,BB,0,71.13,-68.833,0
557,2005,17.5,-15.4,NA,NA,DS,0,61.74,-65.2585,0
558,2005,17.6,-15.4,-59.18,9.194,DS,0,61.61,-64.753,0
559,2005,17.8,-15.4,-69.7585037,8.355071477,DS,1,61.74,-65.6887,0
560,2005,17.9,-15.4,-65.16,9.598,DS,0,63.57,-65.0437,0
561,2005,17.9,-15.4,NA,NA,DS,1,61.72,-64.8725,0
562,2005,18,-15.4,-61.66,9.529,DS,1,62.9,-64.9958,0
563,2005,18.2,-15.4,-71.6401,8.0582,DS,1,60.32,-64.8203,0
564,2005,18.6,-15.4,-56.403994,7.69778,DS,1,65.7,-62.7345,0
565,2005,19.1,-15.4,-52.559,10.718,DS,1,62.53,-64.159,0
566,2005,19.2,-15.4,-61.1804,7.5963,DS,1,65.65,-62.3185,0
567,2005,19.2,-15.4,-54.97,8.681,DS,1,62.92,-65.0518,0
568,2005,19.3,-15.4,NA,NA,DS,1,62.37,-64.6807,0
569,2005,19.7,-15.4,-52.826344,9.07097,DS,1,65.36,0,0
570,2005,19.9,-15.4,-74.253502,9.488030497,DS,1,60.39,-64.4443,0
571,2005,17.4,-15.4,-67.0827,8.497,FB,0,62.05,-67.115,0
572,1992,18.5,-15.4,-81.86,8.16,KB,1,77.27,-79.017,0
573,1992,20.8,-15.4,-68.57,1.89,KB,0,77.27,-79.017,1
574,1997,18.8,-15.4,NA,NA,LS,1,76.3,-94.829,0
575,1997,19.3,-15.4,-92,5.84,LS,0,72.89,-90.871,0
576,1991,19.3,-15.4,-86.5,9.93,LS,0,73.45,-90.45,0
577,1991,19.8,-15.4,-71.3,6.8,LS,1,74.95,-99.217,0
578,1992,19.9,-15.4,NA,NA,LS,0,75.03,-79.85,0
579,1997,20.2,-15.4,-98.58,8.02,LS,1,71.05,-87.811,0
580,1997,19.69,-15.38,-52.43,10.59,BB,1,70.04,-67.308,0
581,1997,19.92,-15.38,-63,5.37,BB,1,70.275,-67.884,0
582,1997,17.4,-15.3,-51.1,9.87,BB,0,66.92,-61.86,0
583,1997,17.9,-15.3,-57.8,7,BB,0,69.93,-68.713,0
584,2005,18.1,-15.3,-45.713272,9.04549,BB,1,66.28,-61.7895,0
585,1997,18.5,-15.3,-53.43,9.46,BB,1,72.22,-74.711,0
586,2005,18.6,-15.3,-56.368804,8.16188,BB,1,66.62,-61.3127,0
587,2005,18.6,-15.3,-44.29316,10.44416,BB,1,66.55,-61.445,0
588,1997,19.1,-15.3,-74.01,9.1,BB,1,66.8,-61.897,0
589,1991,19.5,-15.3,-77.75,6.03,BB,1,66.32,-62.817,0
590,2005,17.8,-15.3,-67.3026243,8.587283497,DS,1,60.16,-64.4028,0
591,2005,17.9,-15.3,NA,NA,DS,1,62.37,-64.5942,0
592,2005,18.2,-15.3,NA,NA,DS,1,61.43,-65.05,0
593,2005,18.3,-15.3,-68.57,8.219,DS,1,62.9,-65.0892,0
594,2005,18.3,-15.3,-65.09,8.693,DS,1,62.46,-64.3617,0
595,2005,18.3,-15.3,-58.83,9.7,DS,1,62.43,-64.3133,0
596,2005,18.4,-15.3,-66.317,8.177,DS,1,62.88,-64.877,0
597,2005,18.4,-15.3,-53.5804,8.6702,DS,0,64.93,-63.63,0
598,2005,18.5,-15.3,-53.475404,8.82618,DS,0,62.44,-64.4632,0
599,2005,18.5,-15.3,NA,NA,DS,0,62.73,-65.7247,0
600,2005,18.6,-15.3,-70.1692,9.4307,DS,1,62,-66.0595,0
601,2005,18.8,-15.3,-58.6782,8.5471,DS,1,62.76,-63.8645,0
602,2007,18.9,-15.3,NA,NA,DS,1,62.52,-66.4906,0
603,2005,19,-15.3,-72.69,8.94,DS,1,62.9,-64.6197,0
604,2005,19.3,-15.3,NA,NA,DS,1,61.91,-65.0875,0
605,2005,19.6,-15.3,-60.3076,9.6371,DS,1,62.76,-63.8645,0
606,2005,19.6,-15.3,-61.613,10.975,DS,1,62.53,-64.159,0
607,2005,18.6,-15.3,-68.8206,9.0544,FB,0,62.19,-67.7738,0
608,2008,20.2,-15.3,-86.5,NA,FB,0,69.36,-78.2665,0
609,2008,20.6,-15.3,-67.4,NA,FB,0,67.3,-75.6635,0
610,2008,21.1,-15.3,-84.1,NA,FB,1,68.23,-76.7113,0
611,1992,20.3,-15.3,-71.59,6.36,KB,1,77.3,-78.783,0
612,1997,19.9,-15.3,NA,NA,LS,1,72.07,-90.282,0
613,1992,20.1,-15.3,-82.18,6.45,LS,1,76.17,-88.35,0
614,1997,20.9,-15.3,NA,NA,LS,1,75.36,-92.433,0
615,2007,18.88,-15.27,-49.897754,8.54499,BB,1,66.6,-61.3642,0
616,1997,20.61,-15.26,-66.83,6.95,BB,1,70.105,-67.426,0
617,1991,20.7,-15.26,-95.26,6.96,LS,1,74.933,-99.517,0
618,2016,19.57,-15.25,NA,NA,FB,1,64.4,-75.25,0
619,1997,20.39,-15.22,-64.24,7.71,BB,1,70.036,-67.308,0
620,2005,19.57,-15.22,-61.975,8.703,DS,1,62.53483333,-64.42,0
621,2005,19.47,-15.21,-53.118812,9.48138,BB,1,66.57,-61.3898,0
622,1992,17.5,-15.2,-61.95,8.06,BB,1,67.08,-62.717,0
623,1997,18,-15.2,-62.36,7.99,BB,1,67.02,-62.337,0
624,1997,18.3,-15.2,-54.79,48.96,BB,1,67.07,-62.179,1
625,1997,18.4,-15.2,-63.86,8.95,BB,1,67.05,-62.122,0
626,2005,18.6,-15.2,NA,NA,BB,1,66.37,-61.5152,0
627,1997,19.4,-15.2,-67.18,8.57,BB,1,69.58,-68.203,0
628,1997,19.4,-15.2,-73.62,8.71,BB,1,72.96,-77.13,0
629,1997,19.43,-15.2,-65.95,9.89,BB,1,69.864,-68.689,0
630,1992,19.9,-15.2,-80.87,5.38,BB,1,73.6,-77.667,0
631,2005,17.3,-15.2,-70.0443,9.8318,DS,0,59.61,-63.9653,0
632,2005,17.8,-15.2,-74.5665,8.5109,DS,1,60.08,-64.4178,0
633,2005,17.9,-15.2,NA,NA,DS,1,61.52,-65.2592,0
634,2005,18.3,-15.2,-54.22,9.187,DS,0,62.56,-64.7323,0
635,2005,18.5,-15.2,-79.1599,7.4854,DS,1,60.29,-64.595,0
636,2005,18.5,-15.2,-71.5527221,8.497115923,DS,1,60.6,-64.7653,0
637,2005,18.5,-15.2,-62.5421023,8.566373535,DS,0,61.74,-65.6887,0
638,2005,18.5,-15.2,-60.5554007,10.11349839,DS,0,60.57,-68.053,0
639,2005,18.5,-15.2,NA,NA,DS,0,61.42,-64.9958,0
640,2005,18.6,-15.2,-64.1756316,8.814851806,DS,0,60.58,-64.7485,0
641,2005,18.6,-15.2,-76.6027,8.8784,DS,1,60.36,-64.8277,0
642,2005,18.6,-15.2,-59.61,8.934,DS,1,62.61,-64.9018,0
643,2005,18.9,-15.2,-63.1682,7.0857,DS,1,65.27,-63.0368,0
644,2005,18.9,-15.2,-64.23,8.919,DS,1,62.93,-63.781,0
645,2005,18.9,-15.2,-79.8757,9.6348,DS,1,60.33,-67.9742,0
646,2005,19,-15.2,-60.522,8.7745,DS,1,65.8,-62.3545,0
647,2005,19,-15.2,-70.3853,10.277,DS,1,62.92,-63.7027,0
648,2005,19.3,-15.2,NA,NA,DS,1,61.78,-65.1072,0
649,2005,19.4,-15.2,-69.7742,8.8638,DS,1,60.09,-64.4562,0
650,2005,19.6,-15.2,NA,NA,DS,1,61.75,-64.9948,0
651,2005,20.2,-15.2,-59.45,8.302,DS,1,62.91,-64.9575,0
652,2005,18,-15.2,-61.1797,8.5813,FB,0,62.16,-67.8853,0
653,2008,19.1,-15.2,-74.2,NA,FB,0,65.77,-73.7458,0
654,2008,20.4,-15.2,-73,NA,FB,0,65.85,-84.0824,0
655,2008,20.5,-15.2,-68.1,NA,FB,0,68.24,-76.6603,0
656,2008,20.6,-15.2,-61.8,NA,FB,0,67.47,-75.1617,0
657,1997,18.6,-15.2,NA,NA,LS,0,76.58,-87.501,0
658,1997,19.8,-15.2,NA,NA,LS,0,72.83,-91.648,0
659,1997,20.2,-15.2,-92.36,7.36,LS,0,72.67,-90.844,0
660,1997,21,-15.2,NA,NA,LS,1,72.34,-91.139,0
661,2005,19.43,-15.18,-67.1183,9.1073,DS,1,65.191,-63.815,0
662,1997,21.37,-15.16,-64.08,5.29,BB,1,70.24,-67.79,0
663,1992,19.94,-15.16,-84.6,5.26,LS,0,74.55,-80.517,0
664,1997,19.3,-15.13,-56.84,6.83,BB,1,66.6,-62.089,0
665,1997,19.84,-15.13,-74.48,9.4,BB,0,67.784,-65.542,0
666,1997,17.5,-15.1,-52.96,8.05,BB,1,66.45,-61.695,0
667,1997,19.01,-15.1,-61.91,8.33,BB,1,66.544,-61.605,0
668,1992,20,-15.1,-66.77,4.39,BB,1,72.47,-73.867,0
669,1997,20.3,-15.1,-68.25,8.15,BB,1,73.28,-76.736,0
670,2005,17.5,-15.1,NA,NA,DS,0,61.8,-65.918,0
671,2005,17.6,-15.1,-70.1933095,9.948182323,DS,0,59.51,-65.3855,0
672,2005,17.8,-15.1,-64.5759,8.9357,DS,1,62.76,-63.8645,0
673,2005,18,-15.1,-68.0442002,8.700245052,DS,0,61.69,-65.1267,0
674,2005,18,-15.1,-65.7352611,9.89596049,DS,1,60.45,-64.8512,0
675,2005,18,-15.1,NA,NA,DS,1,61.78,-65.7692,0
676,2005,18.1,-15.1,-57.76,9.953,DS,0,60.65,-64.6007,0
677,2005,18.3,-15.1,NA,NA,DS,1,61.36,-64.9598,0
678,2005,18.4,-15.1,-77.2692,7.8776,DS,1,60.58,-68.097,0
679,2005,18.4,-15.1,-55.37,8.73,DS,1,62.53,-65.0065,0
680,2005,18.4,-15.1,NA,NA,DS,1,61.57,-65.3638,0
681,2005,18.5,-15.1,-61.8603,8.7755,DS,1,65.06,-63.8308,0
682,2005,18.6,-15.1,-69.3177,6.3011,DS,0,60.45,-67.8442,0
683,2005,18.6,-15.1,-65.7606,8.9158,DS,1,62.53,-64.159,0
684,2007,18.9,-15.1,-73.0103,7.5912,DS,1,58.51,-62.9763,0
685,2005,18.9,-15.1,-59.4963,9.1627,DS,0,60.41,-67.9055,0
686,2005,19,-15.1,-102.49284,4.941776,DS,1,62.4,-64.4795,0
687,2005,19,-15.1,-72.2689,9.3123,DS,1,61.83,-65.7788,0
688,2005,19,-15.1,NA,NA,DS,1,62.37,-64.4955,0
689,2005,19.1,-15.1,-48.46513,7.74146,DS,1,65.32,-63.417,0
690,2005,19.1,-15.1,-62.99,8.16,DS,1,62.5,-64.6497,0
691,2005,19.1,-15.1,-59.95,9.547,DS,1,60.68,-64.6553,0
692,2005,19.1,-15.1,-63.0714311,10.33607803,DS,1,62.43,-66.3492,0
693,2005,19.1,-15.1,NA,NA,DS,1,61.52,-65.2592,0
694,2005,19.1,-15.1,NA,NA,DS,1,61.5,-65.1792,0
695,2005,19.2,-15.1,NA,NA,DS,1,62.37,-64.4955,0
696,2005,19.4,-15.1,-67.3206696,9.537439568,DS,1,62.43,-66.3492,0
697,1997,19.6,-15.1,-66.21,6.47,DS,1,61.18,-66.875,0
698,1997,18.5,-15.1,NA,NA,KB,1,77.43,-77.937,0
699,2017,20.27,-15.09,NA,NA,DS,1,55.26,-59.2302,0
700,1997,20.91,-15.07,-75.98,11.89,BB,1,70.729,-70.451,0
701,1997,19.46,-15.04,-50.25,7.28,BB,1,66.866,-62.011,0
702,1997,17.4,-15,-54.91,10.75,BB,1,69.15,-66.785,0
703,2005,17.8,-15,-51.15,8.739,DS,0,63.13,-64.9777,0
704,2005,17.9,-15,-51.12,9.165,DS,0,61.66,-64.9565,0
705,2005,18,-15,-48.38,8.706,DS,0,61.61,-64.753,0
706,2005,18.2,-15,-62.9624,7.8738,DS,0,60.58,-68.0033,0
707,2005,18.2,-15,-56.14,9.523,DS,0,62.75,-65.0157,0
708,2005,18.3,-15,-58.79,7.812,DS,1,62.46,-64.3082,0
709,2005,18.3,-15,-52.131146,8.26289,DS,0,65.86,-62.1585,0
710,2005,18.6,-15,NA,NA,DS,1,61.56,-65.4345,0
711,2005,18.7,-15,-58.24,9.247,DS,1,62.49,-64.7305,0
712,2005,18.7,-15,NA,NA,DS,0,61.51,-65.2528,0
713,2005,18.9,-15,-53.969,9.3,DS,1,62.44,-64.3205,0
714,2005,19,-15,NA,NA,DS,0,62.45,-64.592,0
715,2005,19.4,-15,-76.8151,8.295,DS,1,60.13,-64.9888,0
716,2005,19.4,-15,NA,NA,DS,1,61.93,-66.59,0
717,2005,19.7,-15,NA,NA,DS,1,61.82,-65.7577,0
718,2005,19.9,-15,NA,NA,DS,1,61.87,-66.2447,0
719,2005,17.9,-15,-72.2057,7.7524,FB,0,62.08,-67.2538,0
720,2005,18.2,-15,-67.5395,9.839,FB,0,62.13,-67.3318,0
721,1997,18.3,-15,-72.77,8.62,LS,0,72.47,-90.733,0
722,1992,20.3,-15,-88.0323,5.2819,LS,0,71.12,-87.883,0
723,1992,20.4,-15,-90.53,3.72,LS,0,71.17,-87.917,0
724,1992,21.08,-15,-89.57,1.39,LS,0,75.673,-80.918,1
725,1997,20.34,-14.99,-53.12,10.99,BB,1,67.994,-64.883,0
726,1992,20.14,-14.97,-89.05,4.18,LS,0,71.283,-88.867,0
727,1997,19.25,-14.93,-60.07,15.14,BB,1,66.926,-61.845,0
728,2005,18.99,-14.93,-60.96,8.949,DS,1,NA,NA,0
729,1997,18,-14.9,-51.57,7.14,BB,1,66.64,-61.993,0
730,2005,17.6,-14.9,-56.61,9.099,DS,1,61.68,-65.3408,0
731,2005,17.8,-14.9,-66.54497,9.53962,DS,0,62.44,-64.267,0
732,2005,18,-14.9,-70.6398,8.7255,DS,1,60.52,-67.9495,0
733,2005,18,-14.9,NA,NA,DS,1,61.88,-66.1317,0
734,2005,18.1,-14.9,-55.9354,9.4883,DS,0,60.42,-67.8523,0
735,2005,18.2,-14.9,-72.3217,8.9232,DS,0,60.46,-67.8492,0
736,2005,18.2,-14.9,-71.0825,9.2837,DS,1,61.88,-66.1218,0
